Item No,Item Name,Category,Formula,Plain Formula,Quantity,Unit,Location / Block,Grade,Notes
270,"Bunsen Burner with Air Regulator (LP Gas)","Equipment","Brass / Diecast Base","Brass / Diecast Base","10","pcs","Cupboard 1 (55)","Flame Adjustable","Heavy cast base with brass air mixing sleeve and gas inlet."
271,"Meker-Fisher High Temperature Burner","Equipment","Nickel-Plated Brass","Nickel-Plated Brass","3","pcs","Cupboard 1 (55)","High Heat (1200°C)","Expanded grid top producing compact intense heating flame."
272,"Crucible Tongs 200 mm (Stainless Steel)","Equipment","Stainless Steel 304","Stainless Steel 304","12","pcs","Cupboard 1 (55)","Corrugate Jaw","Bowed tips for safely gripping hot crucibles and dishes."
273,"Beaker Tongs 250 mm (Rubber Sleeved Jaws)","Equipment","Stainless Steel / Rubber","Stainless Steel / Rubber","8","pcs","Cupboard 1 (55)","Non-Slip Gripping","Plastisol coated jaws for handling hot beakers up to 1000 mL."
274,"Test Tube Holder (Spring Steel with Wooden Finger Grip)","Equipment","Spring Steel / Wood","Spring Steel / Wood","20","pcs","Cupboard 1 (55)","Heat Insulated Grip","Spring-loaded self-closing clamp."
275,"Test Tube Rack 24-Hole (Polypropylene Autoclavable)","Equipment","PP (Polypropylene)","PP (Polypropylene)","10","pcs","Cupboard 1 (55)","3-Tier Submersible","Alpha-numeric grid indexing for 16–20 mm tubes."
276,"Test Tube Rack 12-Hole with 6 Drying Pins (Wooden)","Equipment","Hardwood","Hardwood","8","pcs","Cupboard 1 (55)","Traditional Wood","Varnished hardwood with vertical draining pegs."
277,"Laboratory Stainless Steel Spatula 150 mm (Spoon / Flat)","Equipment","Stainless Steel 304","Stainless Steel 304","25","pcs","Cupboard 1 (55)","Chemical Resistant","One end scoop spoon, other end flat blade."
278,"Micro Spatula 150 mm (Flat / Bent Tip)","Equipment","Stainless Steel 304","Stainless Steel 304","15","pcs","Cupboard 1 (55)","Analytical Micro","For handling minute analytical powder quantities."
279,"Stainless Steel Forceps / Tweezers 125 mm (Blunt Serrated)","Equipment","Stainless Steel","Stainless Steel","12","pcs","Cupboard 1 (55)","Precision Gripping","Serrated tips for picking balance weights and samples."
280,"PTFE Magnetic Stirring Bars (Octagonal with Pivot Ring, 25 x 8 mm)","Equipment","PTFE / Alnico V","PTFE / Alnico V","20","pcs","Cupboard 1 (55)","Chemically Inert","Octagonal stir bar with center pivot ring for turbulence."
281,"PTFE Magnetic Stirring Bars (Octagonal with Pivot Ring, 35 x 9 mm)","Equipment","PTFE / Alnico V","PTFE / Alnico V","15","pcs","Cupboard 1 (55)","Chemically Inert","Heavy duty magnetic flea for large volume mixing."
282,"Magnetic Stir Bar Retriever 300 mm (PTFE Coated Rod)","Equipment","PTFE / Permanent Magnet","PTFE / Permanent Magnet","4","pcs","Cupboard 1 (55)","Chemical Resistant","Strong permanent magnet tip for retrieving stir bars."
283,"Laboratory Thermometer -10°C to +110°C (Red Spirit Filled)","Equipment","Glass / Non-Toxic Spirit","Glass / Spirit","15","pcs","Cupboard 1 (55)","Partial Immersion","Yellow back glass with 1°C division."
284,"Laboratory Thermometer -10°C to +250°C (Mercury / Safe Spirit)","Equipment","Glass / Precision Fluid","Glass / Precision Fluid","10","pcs","Cupboard 1 (55)","High Range","Total immersion high temperature scale."
285,"Digital Probe Thermometer (-50°C to +300°C Stainless Stem)","Equipment","Electronic / SS304","Electronic / SS304","4","units","Cupboard 1 (55)","Fast Response LCD","145 mm pointed stainless steel probe with protective sleeve."
286,"Laboratory Wash Bottle 250 mL (LDPE Narrow Mouth)","Equipment","LDPE (Polyethylene)","LDPE (Polyethylene)","12","pcs","Cupboard 1 (55)","Flexible Squeeze","Integral delivery tube with fine jet nozzle for distilled water."
287,"Laboratory Wash Bottle 500 mL (LDPE Wide Mouth)","Equipment","LDPE (Polyethylene)","LDPE (Polyethylene)","15","pcs","Cupboard 1 (55)","Flexible Squeeze","Wide neck wash bottle with color-coded dispensing tube."
288,"Acetone Safety Venting Wash Bottle 500 mL (Red Labeled)","Equipment","LDPE (Vented Cap)","LDPE (Vented Cap)","6","pcs","Cupboard 1 (55)","Safety Labeled","Pre-printed GHS symbols with automatic pressure release valve."
289,"Ethanol Safety Venting Wash Bottle 500 mL (Green Labeled)","Equipment","LDPE (Vented Cap)","LDPE (Vented Cap)","6","pcs","Cupboard 1 (55)","Safety Labeled","Pre-printed chemical identification with zero-drip nozzle."
290,"Test Tube Cleaning Brush (Nylon Bristle with Fan Tip, 20 mm)","Equipment","Nylon / Galvanized Wire","Nylon / Galvanized Wire","20","pcs","Cupboard 1 (55)","Scratch-Proof Tip","Tufted radial end protects glass bottoms."
291,"Burette Cleaning Brush 600 mm (Long Handle)","Equipment","Nylon / Wire","Nylon / Wire","8","pcs","Cupboard 1 (55)","Extra Long","Flexible wire spine for scrubbing full length of 50 mL burettes."
292,"Flask Cleaning Brush (Curved Swivel Head)","Equipment","Nylon / Wooden Handle","Nylon / Wooden Handle","6","pcs","Cupboard 1 (55)","Conical Shape","Hinged bent joint expands inside flasks."
293,"Rubber Stopper Assortment (Solid, 1-Hole, 2-Hole #0 to #10)","Equipment","Natural Vulcanized Rubber","Natural Rubber","100","pcs","Cupboard 1 (55)","Elastic Non-Hardening","Assorted sizes for test tubes, flasks, and gas generators."
294,"Silicone Tubing 6 mm ID x 9 mm OD (Laboratory Grade, 10 Meters)","Equipment","Silicone Elastomer","Silicone Elastomer","3","rolls","Cupboard 1 (55)","Autoclavable (-50 to 200°C)","High flexibility, non-toxic tubing for water condensers."
295,"Thick Wall Rubber Vacuum Tubing 8 mm ID x 16 mm OD (5 Meters)","Equipment","Heavy Rubber","Heavy Rubber","2","rolls","Cupboard 1 (55)","Non-Collapsing","Reinforced wall resists vacuum collapse for aspirators."
296,"Parafilm M Laboratory Sealing Film (4 inches x 125 ft Roll)","Equipment","Polyolefin/Paraffin","Polyolefin/Paraffin","4","rolls","Cupboard 1 (55)","Moisture Barrier","Self-sealing, moldable thermoplastic film for beakers and flasks."
297,"Whatman No. 1 Qualitative Filter Paper Circles 110 mm (Box of 100)","Equipment","Cellulose 100%","Cellulose","10","boxes","Cupboard 1 (55)","Medium Retention (11 µm)","Standard qualitative clarification and separation filter."
298,"Whatman No. 42 Ashless Quantitative Filter Paper 110 mm (Box of 100)","Equipment","Pure Alpha Cotton","Cotton Cellulose","6","boxes","Cupboard 1 (55)","Slow / Fine (2.5 µm)","High retention gravimetric analytical filter paper."
299,"Universal pH Indicator Paper Strips pH 1–14 (Booklet of 80 Strips)","Equipment","Indicator Dyes","Indicator Dyes","20","booklets","Cupboard 1 (55)","Full pH Scale 1-14","Includes distinct 4-color comparison standard card."
300,"Litmus Paper Blue Strips (Vial of 100 Strips)","Equipment","Litmus Dye","Litmus Dye","10","vials","Cupboard 1 (55)","Acid Indicator","Turns red under acidic conditions."
301,"Litmus Paper Red Strips (Vial of 100 Strips)","Equipment","Litmus Dye","Litmus Dye","10","vials","Cupboard 1 (55)","Base Indicator","Turns blue under alkaline conditions."
350,"S-lon Glue Bottle","Equipment","Adhesive / Solvent cement","Adhesive","1","bottle","Cupboard 1 (56)","Standard Lab Grade","Solvent cement adhesive for PVC and lab fittings"
362,"AUTOLAB Items & Electrochemical Cell Accessories","Equipment","Electrochemical","Electrochemical","1","set","Cupboard 1 (67)","Standard Lab Grade","Potentiostat / Galvanostat accessories and electrodes"
363,"Black Cell Cuvette","Equipment","Optical Glass","Optical Glass","1","pc","Cupboard 1 (67)","Standard Lab Grade","Masked black-wall spectrophotometer cuvette"
364,"Quartz Cuvettes (UV-Vis)","Equipment","Fused Quartz (SiO₂)","Fused Quartz","4","pcs","Cupboard 1 (67)","Standard Lab Grade","Far UV-Vis quartz cuvettes 190–2500 nm"
365,"Digital Oscilloscope Manual & Documentation","Equipment","Electronic Manual","Manual","1","unit","Cupboard 1 (67)","Standard Lab Grade","Operation and calibration manual for digital oscilloscope"
366,"Face Masks Pack","Equipment","PPE Polypropylene","PPE","1","pack","Cupboard 1 (67)","Standard Lab Grade","Protective 3-ply laboratory face masks"
367,"Hot Disk Thermal Conductivity Probe","Equipment","Sensor / Sensor Wire","Sensor","3","units","Cupboard 1 (67)","Standard Lab Grade","Transient plane source thermal constants probe"
368,"IPCE USB Interface Cable","Equipment","Electronic Cable","Cable","1","unit","Cupboard 1 (67)","Standard Lab Grade","Incident Photon-to-Current Conversion Efficiency interface cable"
369,"Laboratory Computer Keyboard","Equipment","Peripheral","Peripheral","1","unit","Cupboard 1 (67)","Standard Lab Grade","Data acquisition workstation keyboard"
370,"Micropipette Operation Manual","Equipment","Documentation","Manual","1","unit","Cupboard 1 (67)","Standard Lab Grade","Calibration and maintenance manual"
371,"Laboratory Computer Mouse","Equipment","Peripheral","Peripheral","1","unit","Cupboard 1 (67)","Standard Lab Grade","Data acquisition optical mouse"
372,"MPLAB Microcontroller Chips & Accessories","Equipment","Semiconductor / IC","Semiconductor","1","set","Cupboard 1 (67)","Standard Lab Grade","Development kit, PIC chips, and debug adapters"
373,"NEC Projector","Equipment","Optical / Electronic","Projector","1","unit","Cupboard 1 (67)","Standard Lab Grade","Seminar and lab projection unit"
375,"EUTECH pH Meter Accessories & Probes","Equipment","Electrochemical Cell","pH Electrode","1","set","Cupboard 1 (67)","Standard Lab Grade","Replacement electrode, BNC cable, and storage cap"
376,"UPS (Uninterruptible Power Supply)","Equipment","Power Supply / Battery","UPS","8","units","Cupboard 1 (67)","Standard Lab Grade","Backup power units for analytical instruments"
377,"VGA Cables (D-Sub High Density)","Equipment","Display Cable","VGA Cable","1","pc","Cupboard 1 (67)","Standard Lab Grade","Video connection cable"
378,"Xenon Arc Lamp (Solar Simulator / UV-Vis Source)","Equipment","Xenon Gas / Quartz","Xe Lamp","1","unit","Cupboard 1 (67)","Standard Lab Grade","High intensity solar simulation arc lamp"
379,"Blue Litmus Paper (Pack of 200)","Equipment","Litmus / Cellulose","Litmus Paper","1","pack (200 strips)","Cupboard 1 (40)","Standard Lab Grade","Opened pack - Acid-base indicator paper for base detection"
390,"Crucible Tongs","Equipment","Stainless Steel","Stainless Steel","1","pc","Cupboard 1 (40)","Standard Lab Grade","Bowed jaw stainless steel tongs for handling hot crucibles"
392,"FTO Glass Substrates (Standard)","Equipment","SnO₂:F on Glass","SnO2:F / Glass","14","pcs","Cupboard 1 (40)","Standard Lab Grade","Fluorine-doped Tin Oxide transparent conductive glass"
393,"FTO Glass Substrates (4 cm × 9 cm)","Equipment","SnO₂:F on Glass","SnO2:F / Glass","1","pc","Cupboard 1 (40)","Standard Lab Grade","Large size 4 cm × 9 cm conductive FTO substrate"
404,"Microscope Slides (Opened pack)","Equipment","Soda-Lime Glass","Glass","<72","slides","Cupboard 1 (40)","Standard Lab Grade","Opened pack (<72 slides) - 25 × 75 mm optical clear"
405,"Microscope Slides (72-pack Sealed)","Equipment","Soda-Lime Glass","Glass","1","pack (72 slides)","Cupboard 1 (40)","Standard Lab Grade","Full sealed box of 72 microscope glass slides"
407,"Pen Type Digital pH Meter","Equipment","Electronic","Electronic","2","units","Cupboard 1 (40)","Standard Lab Grade","Pocket digital pen-type pH tester"
411,"Plastic Buchner Funnel","Equipment","Polypropylene","PP","6","pcs","Cupboard 1 (40)","Standard Lab Grade","Chemical resistant polypropylene vacuum filtration funnels"
412,"Plastic Petri Dish","Equipment","Polystyrene","PS","2","pcs","Cupboard 1 (40)","Standard Lab Grade","Sterile disposable culture dishes"
415,"Red Litmus Paper (Pack of 200)","Equipment","Litmus / Cellulose","Litmus Paper","1","pack (200 strips)","Cupboard 1 (40)","Standard Lab Grade","Acid-base indicator paper for base detection"
419,"Surgical Blades (Sterile Carbon Steel)","Equipment","Carbon Steel","Carbon Steel","8","pcs","Cupboard 1 (40)","Standard Lab Grade","Sterile surgical cutting blades for substrate and film slicing"
427,"Thread Seal PTFE Tape","Equipment","PTFE","PTFE","1","roll","Cupboard 1 (40)","Standard Lab Grade","Polytetrafluoroethylene seal tape for gas and liquid tight fittings"
430,"Transfer Pipettes / Plastic Droppers","Equipment","LDPE Plastic","LDPE","1","pack","Cupboard 1 (40)","Standard Lab Grade","Disposable transfer droppers"
436,"Wash Bottle (Large LDPE)","Equipment","LDPE","LDPE","3","pcs","Cupboard 1 (40)","Standard Lab Grade","Squeeze wash bottles with integral delivery tube"
437,"Weighing Boats (Opened pack)","Equipment","Polystyrene","PS","<500","boats","Cupboard 1 (40)","Standard Lab Grade","Opened pack (<500 boats) - Anti-static pouring dishes"
438,"Weighing Boats (100 pieces pack Sealed)","Equipment","Polystyrene","PS","1","pack (100 pcs)","Cupboard 1 (40)","Standard Lab Grade","Sealed pack of 100 anti-static weighing boats"
